Country,Region,Continent,Value
Egypt,North Africa,Africa,1.8518519
South Africa,Southern Africa,Africa,1.8518519
Nigeria,West Africa,Africa,1.8518519
Morocco,North Africa,Africa,1.8518519
Tanzania,East Africa,Africa,1.8518519
Algeria,North Africa,Africa,1.8518519
Mauritius,East Africa,Africa,1.8518519
Kenya,East Africa,Africa,1.8518519
Botswana,Southern Africa,Africa,1.8518519
Seychelles,East Africa,Africa,1.8518519
Ghana,West Africa,Africa,1.8518519
Ethiopia,East Africa,Africa,1.8518519
"Congo, Dem. Rep.",Central Africa,Africa,1.8518519
Tunisia,North Africa,Africa,1.8518519
Namibia,Southern Africa,Africa,1.8518519
Senegal,West Africa,Africa,1.8518519
Cabo Verde,West Africa,Africa,1.8518519
Rwanda,East Africa,Africa,1.8518519
Mauritania,West Africa,Africa,1.8518519
Cote d'Ivoire,West Africa,Africa,1.8518519
Uganda,East Africa,Africa,1.8518519
Zambia,Southern Africa,Africa,1.8518519
Benin,West Africa,Africa,1.8518519
Angola,Central Africa,Africa,1.8518519
"Congo, Rep.",Central Africa,Africa,1.8518519
Malawi,Southern Africa,Africa,1.8518519
Mozambique,Southern Africa,Africa,1.8518519
Bahrain,Gulf Cooperation Council,Gulf Arab States - Middle East,8.3333333
Kuwait,Gulf Cooperation Council,Gulf Arab States - Middle East,8.3333333
Oman,Gulf Cooperation Council,Gulf Arab States - Middle East,8.3333333
Qatar,Gulf Cooperation Council,Gulf Arab States - Middle East,8.3333333
Saudi Arabia,Gulf Cooperation Council,Gulf Arab States - Middle East,8.3333333
United Arab Emirates,Gulf Cooperation Council,Gulf Arab States - Middle East,8.3333333
